end_time,stagnant_time,provider,num_pickedup_LimeLime,num_pickedup_LimeBird,num_pickedup_BirdLime,num_pickedup_BirdBird
2019-06-13T23:44:50Z,0.0519444444444444,Bird,0,0,0,0
2019-06-14T08:12:51Z,8.44,Bird,0,0,5,10
2019-06-14T11:46:32Z,11.8361111111111,Bird,0,0,31,59
2019-06-14T04:17:21Z,4.32861111111111,Bird,0,0,0,0
2019-06-15T10:23:44Z,28.8847222222222,Bird,0,0,263,213
2019-06-14T09:13:12Z,3.70888888888889,Bird,0,0,10,19
2019-06-14T13:47:51Z,8.28638888888889,Bird,0,0,58,111
2019-06-14T11:31:48Z,5.96083333333333,Bird,0,0,27,56
2019-06-14T13:23:36Z,7.82416666666667,Bird,0,0,48,97
2019-06-15T12:39:35Z,31.0902777777778,Bird,0,0,289,273
2019-06-15T12:09:27Z,30.5369444444444,Bird,0,0,280,255
2019-06-14T12:39:46Z,7.04222222222222,Bird,0,0,41,88
2019-06-14T16:52:30Z,11.2541666666667,Bird,0,0,134,178
2019-06-14T07:44:33Z,2.08222222222222,Bird,0,0,2,4
2019-06-14T16:59:25Z,10.8747222222222,Bird,0,0,136,180
2019-06-14T09:45:00Z,3.63444444444444,Bird,0,0,13,26
2019-06-14T16:10:51Z,10.0627777777778,Bird,0,0,118,162
2019-06-15T14:48:14Z,32.3175,Bird,0,0,348,335
2019-06-14T09:04:34Z,2.58972222222222,Bird,0,0,10,17
2019-06-14T11:52:13Z,5.38361111111111,Bird,0,0,33,61
2019-06-14T11:53:26Z,5.40388888888889,Bird,0,0,33,64
2019-06-14T09:14:12Z,2.74972222222222,Bird,0,0,10,19
2019-06-18T02:53:02Z,92.3430555555556,Bird,0,0,828,689
2019-06-20T16:46:20Z,154.231111111111,Bird,0,0,828,689
2019-06-14T11:04:17Z,4.525,Bird,0,0,24,48
2019-06-14T10:24:06Z,3.855,Bird,0,0,19,35
2019-06-14T10:25:14Z,3.87388888888889,Bird,0,0,19,36
2019-06-14T08:37:13Z,2.07333333333333,Bird,0,0,7,11
2019-06-14T23:33:53Z,16.9294444444444,Bird,0,0,251,182
2019-06-14T23:40:00Z,17.0311111111111,Bird,0,0,251,182
2019-06-14T23:35:23Z,16.9538888888889,Bird,0,0,251,182
2019-06-15T10:18:33Z,27.6652777777778,Bird,0,0,263,207
2019-06-14T15:05:39Z,8.45027777777778,Bird,0,0,91,138
2019-06-14T14:42:58Z,8.07194444444444,Bird,0,0,79,126
2019-06-15T14:58:46Z,32.2680555555556,Bird,0,0,354,343
2019-06-15T10:24:38Z,27.6991666666667,Bird,0,0,263,213
2019-06-14T15:20:03Z,8.51666666666667,Bird,0,0,94,142
2019-06-14T15:21:34Z,8.54194444444444,Bird,0,0,94,144
2019-06-14T10:20:21Z,3.52138888888889,Bird,0,0,17,34
2019-06-14T16:04:56Z,9.26444444444444,Bird,0,0,115,158
2019-06-14T07:59:42Z,1.17694444444444,Bird,0,0,4,7
2019-06-14T09:55:47Z,3.11166666666667,Bird,0,0,14,30
2019-06-14T19:40:49Z,12.7191666666667,Lime,234,182,0,0
